id,sex,age,city,education_level,university,main_in_life,main_in_people,smoking,alcohol,political
9584199612,ж,60,Уфа,высшее,ИТМО,деньги,статус,положительное,положительное,экстремистские
9571184201,м,24,Москва,высшее,ИТМО,карьера,влияние,положительное,положительное,радикальные
6615208430,ж,24,Москва,высшее,УрФУ,власть,влияние,положительное,положительное,радикальные
5472486153,ж,46,Екатеринбург,высшее,ИТМО,деньги,влияние,положительное,положительное,радикальные
6151319728,ж,50,Уфа,высшее,УрФУ,деньги,деньги,положительное,положительное,экстремистские
4457520631,м,61,Екатеринбург,высшее,УрФУ,карьера,статус,положительное,положительное,экстремистские
4455501020,м,43,Уфа,высшее,СПбГУ,власть,влияние,положительное,положительное,экстремистские
589962320,м,35,Москва,высшее,ИТМО,власть,деньги,положительное,положительное,радикальные
4654592848,м,33,СПб,высшее,УрФУ,деньги,статус,положительное,положительное,радикальные
4043622976,ж,42,СПб,высшее,МГУ,деньги,деньги,положительное,положительное,экстремистские
5048534141,ж,41,Уфа,высшее,МГУ,деньги,статус,положительное,положительное,радикальные
7961435554,м,55,Уфа,высшее,ИТМО,деньги,деньги,положительное,положительное,экстремистские
8344302137,ж,29,Екатеринбург,высшее,МГУ,деньги,влияние,положительное,положительное,радикальные
1072235657,ж,22,Уфа,высшее,СПбГУ,власть,деньги,положительное,положительное,радикальные
2195678181,ж,64,Москва,высшее,СПбГУ,власть,деньги,положительное,положительное,экстремистские
775604298,м,33,Уфа,высшее,МГУ,власть,деньги,положительное,положительное,радикальные
5422824082,м,60,СПб,высшее,ИТМО,карьера,деньги,положительное,положительное,радикальные
8226675524,ж,20,Уфа,высшее,УрФУ,деньги,статус,положительное,положительное,радикальные
5612973594,м,20,СПб,высшее,УрФУ,деньги,статус,положительное,положительное,экстремистские
6213286360,ж,28,Екатеринбург,высшее,ИТМО,власть,статус,положительное,положительное,экстремистские
4254917060,ж,62,Казань,высшее,УрФУ,карьера,деньги,положительное,положительное,радикальные
1702514046,м,27,Москва,высшее,МГУ,карьера,деньги,положительное,положительное,экстремистские
2480539546,м,48,Екатеринбург,высшее,УрФУ,карьера,статус,положительное,положительное,радикальные
8632032127,ж,21,Казань,высшее,МГУ,власть,влияние,положительное,положительное,радикальные
3646631028,ж,56,Екатеринбург,высшее,МГУ,власть,влияние,положительное,положительное,радикальные
7119526212,ж,65,Москва,высшее,ИТМО,власть,статус,положительное,положительное,радикальные
7839020749,ж,65,СПб,высшее,СПбГУ,карьера,деньги,положительное,положительное,экстремистские
8947962850,ж,60,Москва,высшее,ИТМО,деньги,деньги,положительное,положительное,экстремистские
1893370987,м,30,Москва,высшее,УрФУ,карьера,деньги,положительное,положительное,экстремистские
5959048653,ж,18,Казань,высшее,УрФУ,власть,деньги,положительное,положительное,радикальные
4122499236,м,22,СПб,высшее,МГУ,власть,статус,положительное,положительное,экстремистские
1774183963,м,51,СПб,высшее,ИТМО,карьера,влияние,положительное,положительное,радикальные
9665252866,м,58,Казань,высшее,МГУ,власть,статус,положительное,положительное,радикальные
5486426692,м,27,Москва,высшее,УрФУ,деньги,статус,положительное,положительное,радикальные
4706006589,ж,49,Уфа,высшее,ИТМО,власть,деньги,положительное,положительное,экстремистские
6921944134,ж,59,Екатеринбург,высшее,МГУ,деньги,статус,положительное,положительное,радикальные
5204262277,м,34,Казань,высшее,СПбГУ,власть,статус,положительное,положительное,экстремистские
5012590339,ж,45,Екатеринбург,высшее,УрФУ,деньги,статус,положительное,положительное,радикальные
2617762973,ж,44,Екатеринбург,высшее,МГУ,власть,деньги,положительное,положительное,радикальные
3244978208,м,52,Казань,высшее,СПбГУ,деньги,влияние,положительное,положительное,экстремистские
3814142636,ж,50,Екатеринбург,высшее,ИТМО,карьера,деньги,положительное,положительное,экстремистские
451084548,м,44,СПб,высшее,ИТМО,карьера,статус,положительное,положительное,радикальные
8959751227,м,39,Екатеринбург,высшее,ИТМО,деньги,деньги,положительное,положительное,экстремистские
202032858,ж,60,Екатеринбург,высшее,УрФУ,карьера,статус,положительное,положительное,радикальные
8503887317,м,49,Екатеринбург,высшее,МГУ,власть,влияние,положительное,положительное,экстремистские
1966018734,м,62,Уфа,высшее,МГУ,деньги,статус,положительное,положительное,радикальные
634747190,ж,25,Казань,высшее,МГУ,власть,статус,положительное,положительное,радикальные
5669793265,ж,33,Екатеринбург,высшее,СПбГУ,деньги,деньги,положительное,положительное,экстремистские
3345351487,ж,56,Екатеринбург,высшее,МГУ,карьера,деньги,положительное,положительное,радикальные
4345628329,м,45,Екатеринбург,высшее,ИТМО,деньги,влияние,положительное,положительное,радикальные
452816124,ж,46,Казань,высшее,ИТМО,деньги,статус,положительное,положительное,радикальные
3335170480,ж,60,Уфа,высшее,СПбГУ,карьера,деньги,положительное,положительное,экстремистские
3893430299,ж,59,Екатеринбург,высшее,ИТМО,деньги,влияние,положительное,положительное,экстремистские
4329282552,м,61,Уфа,высшее,УрФУ,карьера,влияние,положительное,положительное,радикальные
4149447418,м,55,СПб,высшее,УрФУ,деньги,влияние,положительное,положительное,радикальные
7053670805,м,45,Екатеринбург,высшее,УрФУ,деньги,влияние,положительное,положительное,экстремистские
7695286573,ж,45,Казань,высшее,СПбГУ,деньги,статус,положительное,положительное,радикальные
2014600673,м,29,Екатеринбург,высшее,МГУ,деньги,деньги,положительное,положительное,радикальные
427282099,ж,42,Казань,высшее,МГУ,власть,статус,положительное,положительное,экстремистские
9809656532,м,39,Казань,высшее,ИТМО,карьера,статус,положительное,положительное,экстремистские
8369605058,м,33,СПб,высшее,МГУ,власть,влияние,положительное,положительное,радикальные
6567682944,м,48,СПб,высшее,УрФУ,карьера,деньги,положительное,положительное,экстремистские
3723646878,ж,18,Казань,высшее,ИТМО,деньги,деньги,положительное,положительное,радикальные
2181633634,м,60,СПб,высшее,МГУ,деньги,деньги,положительное,положительное,радикальные
8890317935,ж,35,Казань,высшее,МГУ,власть,статус,положительное,положительное,экстремистские
281116398,ж,18,СПб,высшее,СПбГУ,власть,деньги,положительное,положительное,радикальные
6951616739,ж,43,Екатеринбург,высшее,ИТМО,власть,статус,положительное,положительное,радикальные
3777729999,м,36,СПб,высшее,ИТМО,деньги,влияние,положительное,положительное,радикальные
5190481579,ж,25,Екатеринбург,высшее,СПбГУ,деньги,влияние,положительное,положительное,экстремистские
570549263,ж,20,Екатеринбург,высшее,УрФУ,карьера,влияние,положительное,положительное,радикальные
4009510057,ж,59,Уфа,высшее,УрФУ,деньги,влияние,положительное,положительное,радикальные
5116212955,м,64,Москва,высшее,МГУ,деньги,деньги,положительное,положительное,экстремистские
5866866830,м,22,Москва,высшее,УрФУ,карьера,деньги,положительное,положительное,экстремистские
7128911436,м,41,Уфа,высшее,МГУ,деньги,деньги,положительное,положительное,радикальные
3144261995,ж,61,Екатеринбург,высшее,МГУ,деньги,влияние,положительное,положительное,радикальные
1767424561,м,26,Москва,высшее,СПбГУ,власть,статус,положительное,положительное,радикальные
6589340837,ж,28,Казань,высшее,УрФУ,деньги,влияние,положительное,положительное,радикальные
2250237299,м,44,Уфа,высшее,МГУ,карьера,деньги,положительное,положительное,экстремистские
4328883074,ж,21,СПб,высшее,ИТМО,карьера,влияние,положительное,положительное,экстремистские
6492160355,м,49,Уфа,высшее,СПбГУ,карьера,влияние,положительное,положительное,радикальные
7014672745,м,25,СПб,высшее,СПбГУ,карьера,влияние,положительное,положительное,экстремистские
7747790549,ж,51,СПб,высшее,МГУ,власть,статус,положительное,положительное,экстремистские
5379622852,м,26,СПб,высшее,СПбГУ,карьера,деньги,положительное,положительное,радикальные
6526827981,м,54,Казань,высшее,МГУ,карьера,влияние,положительное,положительное,экстремистские
5976708216,м,44,Екатеринбург,высшее,МГУ,карьера,статус,положительное,положительное,радикальные
5798711535,ж,25,Екатеринбург,высшее,МГУ,власть,влияние,положительное,положительное,экстремистские
6101786141,м,52,Уфа,высшее,ИТМО,власть,статус,положительное,положительное,экстремистские
9026579105,ж,34,СПб,высшее,МГУ,власть,статус,положительное,положительное,радикальные
5517629600,м,61,СПб,высшее,УрФУ,власть,статус,положительное,положительное,экстремистские
4512676874,м,63,Екатеринбург,высшее,МГУ,власть,деньги,положительное,положительное,радикальные
7766096157,м,20,Екатеринбург,высшее,МГУ,карьера,статус,положительное,положительное,экстремистские
325528050,ж,32,Москва,высшее,СПбГУ,карьера,влияние,положительное,положительное,экстремистские
