id,sex,age,city,education_level,university,main_in_life,main_in_people,smoking,alcohol,political,synthetic_cluster
1,ж,21,Екатеринбург,высшее,СПбГУ,семья и дети,власть и богатство,нейтральное,компромиссное,Индифферентные,borderline
2,м,37,Уфа,высшее,ИТМО,саморазвитие,доброта и честность,компромиссное,негативное,Социалистические,reliable
3,ж,34,Казань,высшее,УрФУ,семья и дети,доброта и честность,негативное,негативное,Умеренные,reliable
4,м,35,Томск,высшее,ТГУ,наука и исследование,ум и креативность,резко негативное,компромиссное,Консервативные,reliable
5,ж,28,Санкт-Петербург,неоконченное высшее,СПбГУ,саморазвитие,доброта и честность,негативное,компромиссное,Умеренные,reliable
6,м,43,Челябинск,неоконченное высшее,ИТМО,семья и дети,ум и креативность,положительное,компромиссное,Либеральные,borderline
7,ж,42,Москва,высшее,МГУ,наука и исследование,доброта и честность,компромиссное,негативное,Консервативные,reliable
8,ж,27,Томск,среднее,,карьера и деньги,ум и креативность,негативное,компромиссное,Умеренные,borderline
9,ж,34,Самара,высшее,НГУ,карьера и деньги,ум и креативность,компромиссное,компромиссное,Либеральные,borderline
10,м,34,Томск,высшее,МИФИ,карьера и деньги,власть и богатство,компромиссное,негативное,Либеральные,borderline
11,ж,38,Самара,высшее,МГТУ им. Баумана,саморазвитие,ум и креативность,негативное,нейтральное,Либертарианство,borderline
12,м,37,Казань,среднее,,карьера и деньги,ум и креативность,компромиссное,компромиссное,Либертарианство,borderline
13,ж,21,Омск,среднее,,слава и влияние,красота и здоровье,положительное,нейтральное,Либеральные,risky
14,м,23,Омск,среднее,,развлечения и отдых,юмор и жизнелюбие,нейтральное,компромиссное,Либертарианство,borderline
15,ж,37,Екатеринбург,неоконченное высшее,КФУ,наука и исследование,доброта и честность,негативное,резко негативное,Социалистические,reliable
16,м,28,Санкт-Петербург,высшее,РАНХиГС,саморазвитие,ум и креативность,резко негативное,негативное,Умеренные,reliable
17,ж,22,Санкт-Петербург,высшее,ТГУ,наука и исследование,доброта и честность,нейтральное,негативное,Консервативные,reliable
